author_id,nome,universidade,cidade,total_artigos_no_recorte,total_artigos_com_macroareas,macro_area_principal_no_recorte,macro_areas_no_recorte,num_macro_areas_no_recorte,macroarea_scores_no_recorte,macroarea_scores_por_tema_no_recorte,temas_no_recorte,total_temas_distintos_no_recorte,temas_no_recorte_com_contagem
57220634046,Melo E.G.,Universidade de São Paulo,Sao Paulo,1,1,Biology,Biology | Chemistry,2,Biology:1 | Chemistry:1,Biology:2 | Chemistry:1,Biochemistry | Cell Biology,2,Biochemistry:1 | Cell Biology:1
57220635349,Cure M.B.,Universidade Federal de Santa Catarina,Florianopolis,1,1,Biology,Biology | Undefined,2,Biology:1 | Undefined:1,Biology:2 | Undefined:1,"Decision Sciences (all) | Ecology, Evolution, Behavior and Systematics | Ecology",3,"Decision Sciences (all):1 | Ecology, Evolution, Behavior and Systematics:1 | Ecology:1"
57220637645,Coimbra L.B.C.T.,Universidade de São Paulo,Sao Paulo,1,1,Biology,Biology | Chemistry,2,Biology:1 | Chemistry:1,Biology:2 | Chemistry:1,Biochemistry | Cell Biology,2,Biochemistry:1 | Cell Biology:1
57220642508,Pamplona M.B.,Universidade Federal de Santa Catarina,Florianopolis,1,1,Geosciences,Geosciences,1,Geosciences:1,Geosciences:1,Atmospheric Science,1,Atmospheric Science:1
57220645082,Verona L.S.,Universidade Estadual de Campinas,Campinas,1,1,Biology,Biology,1,Biology:1,Biology:2,"Ecology, Evolution, Behavior and Systematics | Ecology",2,"Ecology, Evolution, Behavior and Systematics:1 | Ecology:1"
57220645210,Souza R.F.,Fundacao Oswaldo Cruz,Rio de Janeiro,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:1,"Public Health, Environmental and Occupational Health",1,"Public Health, Environmental and Occupational Health:1"
57220649711,Villa M.,Technical University of Denmark,Lyngby,1,1,Engineering,Engineering | Chemistry,2,Engineering:1 | Chemistry:1,Engineering:3 | Chemistry:1,Mechanics of Materials | Mechanical Engineering | Metals and Alloys | Materials Chemistry,4,Mechanics of Materials:1 | Mechanical Engineering:1 | Metals and Alloys:1 | Materials Chemistry:1
57220700109,Pinheiro A.G.,Universidade Federal do Espírito Santo,Vitoria,2,2,Medicine and Health,Medicine and Health,1,Medicine and Health:2,Medicine and Health:2,Ophthalmology,1,Ophthalmology:2
57220715451,Dias M.,Fundação Catarinense de Educação Especial,São José,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:1,"Pediatrics, Perinatology and Child Health",1,"Pediatrics, Perinatology and Child Health:1"
57220721278,Moreira F.C.,Universidade Estadual de Campinas,Campinas,8,8,Engineering,Engineering | Physics | Mathematics and Statistics,3,Engineering:8 | Physics:3 | Mathematics and Statistics:1,Engineering:17 | Physics:3 | Mathematics and Statistics:1,Aerospace Engineering | Energy Engineering and Power Technology | Nuclear Energy and Engineering | Mechanical Engineering | Condensed Matter Physics | Fluid Flow and Transfer Processes | Automotive Engineering | Engineering (all) | Industrial and Manufacturing Engineering | Applied Mathematics,10,Aerospace Engineering:7 | Energy Engineering and Power Technology:2 | Nuclear Energy and Engineering:2 | Mechanical Engineering:2 | Condensed Matter Physics:1 | Fluid Flow and Transfer Processes:1 | Automotive Engineering:1 | Engineering (all):1 | Industrial and Manufacturing Engineering:1 | Applied Mathematics:1
