author_id_source,author_name_source,macroarea_source,author_id_target,author_name_target,macroarea_target,same_macroarea,edge_betweenness
23391167300,Ximenes L.R.,Computer Science,57221468432,Rodrigues I.S.C.,Computer Science,True,3993.033604
23391167300,Ximenes L.R.,Computer Science,56044417600,Perez-Jimenez R.,Computer Science,True,3993.033604
56810310300,Oliveira R.C.L.F.,Engineering,7007005296,Aquino A.F.C.,Engineering,True,3992.958281
36151515900,Vilas-Boas V.A.,Medicine and Health,59008995800,Santiago F.C.D.S.,Medicine and Health,True,3992.649067
36151515900,Vilas-Boas V.A.,Medicine and Health,59008995700,Voltan P.,Medicine and Health,True,3992.649067
36151515900,Vilas-Boas V.A.,Medicine and Health,36626391900,Roscani A.N.C.P.,Medicine and Health,True,3992.649067
24802583800,Vaynzof Y.,Engineering,55210006500,Oliveira C.C.,Chemistry,False,3991.376807
36057308000,Rodrigues-Peres R.M.,Medicine and Health,7005179732,Bahamondes L.,Medicine and Health,True,3987.239149
57224156189,Torelli F.R.,Medicine and Health,7005179732,Bahamondes L.,Medicine and Health,True,3987.239149
57189254500,Caramês E.T.d.S.,Chemistry,57193093623,Baptista D.P.,Biology,False,3987.004928
54882884700,Muniz D.G.,Biology,7102314294,Freitas A.V.L.,Biology,True,3986.590922
57226165264,Rocha L.,Medicine and Health,7005179732,Bahamondes L.,Medicine and Health,True,3985.467374
57197750458,Rampasso I.S.,Economics and Business,58102940200,Silva D.A.L.,Tie: Other/Unclassified | Social Sciences,False,3984.211848
57197750458,Rampasso I.S.,Economics and Business,57848885400,Farrapo Junior A.C.,Tie: Other/Unclassified | Social Sciences,False,3984.211848
57197750458,Rampasso I.S.,Economics and Business,57214179451,Giusti G.,Tie: Other/Unclassified | Social Sciences,False,3984.211848
55355286600,Souza M.,Engineering,59337693700,Alves R.M.,Engineering,True,3983.392956
55355286600,Souza M.,Engineering,57226633267,Araujo V.S.P.,Tie: Computer Science | Other/Unclassified,False,3983.392956
55355286600,Souza M.,Engineering,57219688783,Artaxo P.G.,Computer Science,False,3983.392956
55355286600,Souza M.,Engineering,57189003530,Falchetto V.B.,Computer Science,False,3981.392956
55355286600,Souza M.,Engineering,7003386909,Shorten R.N.,Computer Science,False,3979.892956
57202783289,Ferreira G.F.,Engineering,57580338900,Estevam B.R.,Engineering,True,3977.984396
37059628800,Ríos Pinto L.F.,Engineering,57580338900,Estevam B.R.,Engineering,True,3976.234396
23094672600,Martelli D.R.B.,Medicine and Health,57767094900,de Sousa Á.A.D.,Medicine and Health,True,3974.894436
23094672600,Martelli D.R.B.,Medicine and Health,7102178493,Oliveira E.A.,Medicine and Health,True,3974.894436
55002971800,de-Azevedo-Vaz S.L.,Medicine and Health,59152447300,Fachetti E.L.,Medicine and Health,True,3969.322586
55002971800,de-Azevedo-Vaz S.L.,Medicine and Health,58899302900,Bonadiman E.A.,Medicine and Health,True,3969.322586
57194517764,Normando A.G.C.,Medicine and Health,57209314505,Santos-Silva A.R.,Medicine and Health,True,3969.171125
57212492905,Antolini-Tavares A.,Medicine and Health,57217121483,Nobrega G.D.M.,Medicine and Health,True,3968.013069
14323836500,Pietro L.,Medicine and Health,57217121483,Nobrega G.D.M.,Medicine and Health,True,3968.013069
55002971800,de-Azevedo-Vaz S.L.,Medicine and Health,57190817462,Pereira T.C.R.,Medicine and Health,True,3967.822586
35085461600,Belchior Torres R.,Physics,6506847178,Hauk D.B.,Tie: Chemistry | Physics,False,3967.817343
57218454002,Ota M.J.,Computer Science,6701723514,Miyazawa F.K.,Computer Science,True,3967.433352
57204561962,Munaretto L.S.,Chemistry,57355537400,Leão L.P.M.O.,Chemistry,True,3966.801396
57197750458,Rampasso I.S.,Economics and Business,57210910238,Velazquez L.,Tie: Other/Unclassified | Social Sciences,False,3966.026642
57194572088,Mac-Lean C.,Tie: Other/Unclassified | Social Sciences,57197750458,Rampasso I.S.,Economics and Business,False,3966.026642
35758609900,da Costa França A.F.E.,Medicine and Health,57212531901,Bezerra G.H.,Medicine and Health,True,3961.101214
57220089346,Neves T.d.M.,Tie: Biology | Chemistry,8705182000,de Rosso V.V.,Tie: Biology | Chemistry,True,3960.788401
13406948400,Pastre J.C.,Chemistry,57289042900,Rodrigues Gomes G.,Chemistry,True,3960.170637
57203551659,Visnadi L.B.,Engineering,58182718000,Garpelli L.N.,Engineering,True,3959.935061
56538119400,Pereyra M.,Biology,7003995510,Galetto L.,Biology,True,3958.35312
55505828000,Zeballos S.R.,Biology,7003995510,Galetto L.,Biology,True,3958.35312
57203479812,de Oliveira Sanfelice C.F.,Medicine and Health,59229963400,Laporte V.D.,Medicine and Health,True,3958.078541
57191528582,Hussein I.M.,Medicine and Health,57220048431,De Francesco T.,Medicine and Health,True,3956.649004
57061621900,Armstrong J.J.,Medicine and Health,57220048431,De Francesco T.,Medicine and Health,True,3956.649004
57220048431,De Francesco T.,Medicine and Health,8986512100,Ahmed I.I.K.,Medicine and Health,True,3956.649004
57209801165,Mariottoni E.B.,Medicine and Health,7005769174,Medeiros F.,Medicine and Health,True,3954.887099
57200338451,Silva F.L.,Engineering,6508188121,Dedini F.G.,Engineering,True,3954.783765
56519578400,de Paiva J.L.R.,Tie: Biology | Medicine and Health,7004030554,Cardoso T.M.,Medicine and Health,False,3954.578341
58667104700,Portela L.,Tie: Biology | Medicine and Health,7004030554,Cardoso T.M.,Medicine and Health,False,3954.578341
24725355000,Silva L.C.A.,Engineering,6508188121,Dedini F.G.,Engineering,True,3954.450431
36648008700,Ribeiro B.D.,Biology,7101666928,Coelho M.A.Z.,Tie: Biology | Geosciences | Undefined,False,3953.505516
34570748500,Mariano A.P.,Engineering,57212139625,Vieira C.F.d.S.,Geosciences,False,3953.112414
55339190100,Demanboro A.C.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,3951.601428
55829472500,Bisconsin-Júnior A.,Medicine and Health,57204459377,Feitosa B.F.,Biology,False,3951.21141
57423790000,Vasconcelos P.N.,Engineering,7006518081,Venkatesh B.,Engineering,True,3951.165266
57208898617,Rocha Neto J.B.M.,Chemistry,7005082971,Beppu M.M.,Chemistry,True,3950.599141
