author_id:ID(Author),author_name,university,city,author_primary_macroarea,author_macroareas,author_topics,article_count:int,:LABEL
57190179400,Amaro A.S.,Universidade Presbiteriana Mackenzie,Sao Paulo,Tie: Medicine and Health | Social Sciences,Social Sciences | Medicine and Health,Health (social science) | Psychology (all),2,Author
57190190455,Souza R.R.N.,Universidade Estadual de Campinas,Campinas,Engineering,Computer Science | Engineering | Physics | Social Sciences,"Hardware and Architecture | Electrical and Electronic Engineering | Instrumentation | Computer Networks and Communications | Information Systems | Energy Engineering and Power Technology | Safety, Risk, Reliability and Quality | Signal Processing | Surfaces, Coatings and Films | Control and Systems Engineering | Electronic, Optical and Magnetic Materials | Atomic and Molecular Physics, and Optics | Information Systems and Management | Education | Engineering (all)",8,Author
57190192124,Laouer A.,Université de Jijel,Jijel,Chemistry,Chemistry | Physics | Medicine and Health | Engineering,Condensed Matter Physics | Dentistry (all) | Physical and Theoretical Chemistry | Polymers and Plastics | Materials Chemistry,1,Author
57190192922,Carvalho I.A.,Universidade Estadual de Campinas,Campinas,Computer Science,Computer Science | Mathematics and Statistics,Theoretical Computer Science | Computer Science (all) | Computer Networks and Communications | Computational Theory and Mathematics | Applied Mathematics,1,Author
57190193364,Bargos D.C.,Universidade de São Paulo,Sao Paulo,Tie: Geosciences | Social Sciences,Geosciences | Social Sciences,"Geography, Planning and Development | Environmental Science (miscellaneous) | Sociology and Political Science | Urban Studies",1,Author
57190213554,Delfino L.L.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health | Biology,Sensory Systems | Neurology | Neurology (clinical) | Geriatrics and Gerontology | Cognitive Neuroscience,1,Author
57190217538,Esposito A.C.C.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Medicine and Health,Medicine and Health,Dermatology,1,Author
57190218191,Benedito M.P.L.,Universidade Estadual de Campinas,Campinas,Computer Science,Computer Science | Mathematics and Statistics,Computer Science (all) | Theoretical Computer Science | Discrete Mathematics and Combinatorics | Applied Mathematics,4,Author
57190219361,Slongo H.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Urology | Obstetrics and Gynecology | Neurology (clinical),2,Author
57190220280,Pereira Borges N.,Instituto Tecnologico de Aeronautica,Sao Jose dos Campos,Engineering,Engineering | Computer Science,Computer Science (all) | Materials Science (all) | Engineering (all),1,Author
57190223204,Paulino D.S.M.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,"Obstetrics and Gynecology | Pediatrics, Perinatology and Child Health | Medicine (miscellaneous) | Pharmacology (medical)",3,Author
57190223873,Pinho-Pompeu M.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,"Pediatrics, Perinatology and Child Health | Obstetrics and Gynecology | Medicine (all)",2,Author
57190225525,Téo M.R.,Universidade de São Paulo,Sao Paulo,Philosophy and Humanities,Philosophy and Humanities,History,1,Author
57190227126,do Prado R.A.D.P.,Universidade Nove de Julho,Sao Paulo,Economics and Business,Economics and Business,Economics and Econometrics | Marketing,1,Author
57190231968,Martin J.G.P.,Universidade Federal de Vicosa,Vicosa,Biology,Biology | Medicine and Health | Engineering,"Medicine (all) | Immunology and Microbiology (all) | Biochemistry, Genetics and Molecular Biology (all) | Engineering (all)",2,Author
57190257954,Lemos Junior W.J.F.,Università degli Studi di Padova,Padua,Biology,Biology | Chemistry | Engineering,Food Science | Biotechnology | Biochemistry,2,Author
57190260074,Mattos T.S.,Universidade Federal de Mato Grosso do Sul,Campo Grande,Geosciences,Geosciences,Water Science and Technology | Earth and Planetary Sciences (miscellaneous),1,Author
57190260444,Reichert-Lima F.,School of Medical Sciences in São José dos Campos – Humanitas,Sao Jose dos Campos,Tie: Biology | Medicine and Health,Biology | Medicine and Health,Microbiology | Microbiology (medical),1,Author
57190273146,Taniguchi I.,Kyushu University,Fukuoka,Engineering,Engineering | Undefined,Materials Science (all) | Mechanics of Materials | Mechanical Engineering | Multidisciplinary,2,Author
57190274108,Liu S.,Yancheng Institute of Technology,Yancheng,Chemistry,Chemistry | Biology,Biochemistry | Physical and Theoretical Chemistry | Organic Chemistry,1,Author
57190278097,Vieira W.F.,Universidade de São Paulo,Sao Paulo,Medicine and Health,Medicine and Health | Physics | Engineering,"Atomic and Molecular Physics, and Optics | Instrumentation | Radiology, Nuclear Medicine and Imaging | Psychiatric Mental Health | Neurology (clinical) | Psychiatry and Mental Health | Biological Psychiatry",3,Author
